cust_no	gen_cd	age	mclf_nm	menu_nm	sale_qty	t_5to8	t_8to11	t_11to14	t_14to17	t_17to20	t_20to22	t_22t
9990009070186	M	40	음료	키위바나나주스	1.0	0.0	138.0	113.0	54.0	3.0	0.0	0.0
1000000032436	F	50	에스프레소 베리에이션	롱블랙	1.0	0.0	0.0	29.0	3.0	4.0	5.0	0.0
1000000032436	F	50	에스프레소 베리에이션	아메리카노	5.0	0.0	0.0	29.0	3.0	4.0	5.0	0.0
1000000032436	F	50	에스프레소 베리에이션	오트화이트카페라떼	1.0	0.0	0.0	29.0	3.0	4.0	5.0	0.0
1000000032436	F	50	에스프레소 베리에이션	카페라떼	8.0	0.0	0.0	29.0	3.0	4.0	5.0	0.0
1000000032436	F	50	에스프레소 베리에이션	콜드브루라떼	1.0	0.0	0.0	29.0	3.0	4.0	5.0	0.0
1000000032436	F	50	음료	망고프라페	5.0	0.0	0.0	29.0	3.0	4.0	5.0	0.0
1000000032436	F	50	음료	민트초코프라페	1.0	0.0	0.0	29.0	3.0	4.0	5.0	0.0
1000000032436	F	50	음료	생딸기가득주스	1.0	0.0	0.0	29.0	3.0	4.0	5.0	0.0
1000000032436	F	50	음료	스트로베리라떼	1.0	0.0	0.0	29.0	3.0	4.0	5.0	0.0
1000000032436	F	50	음료	스트로베리피치프라페	4.0	0.0	0.0	29.0	3.0	4.0	5.0	0.0
1000000032436	F	50	음료	오렌지에이드	2.0	0.0	0.0	29.0	3.0	4.0	5.0	0.0
1000000032436	F	50	음료	자몽에이드	3.0	0.0	0.0	29.0	3.0	4.0	5.0	0.0
1000000032436	F	50	음료	초콜릿라떼	3.0	0.0	0.0	29.0	3.0	4.0	5.0	0.0
1000000032436	F	50	티 베리에이션	로얄밀크티	3.0	0.0	0.0	29.0	3.0	4.0	5.0	0.0
1000000032436	F	50	티 베리에이션	카모마일	1.0	0.0	0.0	29.0	3.0	4.0	5.0	0.0
1000000032436	F	50	티 베리에이션	크림카라멜	1.0	0.0	0.0	29.0	3.0	4.0	5.0	0.0
9990001544640	F	40	에스프레소 베리에이션	아메리카노	4.0	0.0	6.0	2.0	3.0	0.0	0.0	0.0
9990001544640	F	40	에스프레소 베리에이션	카페라떼	1.0	0.0	6.0	2.0	3.0	0.0	0.0	0.0
9990001544640	F	40	에스프레소 베리에이션	카페모카	1.0	0.0	6.0	2.0	3.0	0.0	0.0	0.0
9990001544640	F	40	에스프레소 베리에이션	카푸치노	3.0	0.0	6.0	2.0	3.0	0.0	0.0	0.0
9990001544640	F	40	음료	초코밀크쉐이크	1.0	0.0	6.0	2.0	3.0	0.0	0.0	0.0
9990001544640	F	40	음료	플레인요거트드링크	1.0	0.0	6.0	2.0	3.0	0.0	0.0	0.0
9990004041973	F	40	에스프레소 베리에이션	숏카페라떼	1.0	0.0	2.0	3.0	14.0	4.0	0.0	0.0
9990004041973	F	40	에스프레소 베리에이션	아메리카노	14.0	0.0	2.0	3.0	14.0	4.0	0.0	0.0
9990004041973	F	40	음료	수박주스	2.0	0.0	2.0	3.0	14.0	4.0	0.0	0.0
9990004041973	F	40	티 베리에이션	로얄밀크티	2.0	0.0	2.0	3.0	14.0	4.0	0.0	0.0
9990004041973	F	40	티 베리에이션	아이스버블밀크티	4.0	0.0	2.0	3.0	14.0	4.0	0.0	0.0
9990008172199	F	30	에스프레소 베리에이션	아메리카노	23.0	0.0	79.0	60.0	9.0	0.0	0.0	0.0
9990008172199	F	30	에스프레소 베리에이션	카페라떼	106.0	0.0	79.0	60.0	9.0	0.0	0.0	0.0
9990008172199	F	30	에스프레소 베리에이션	콜드브루라떼	2.0	0.0	79.0	60.0	9.0	0.0	0.0	0.0
9990008172199	F	30	음료	블루밍요거트피치프라페	1.0	0.0	79.0	60.0	9.0	0.0	0.0	0.0
9990008172199	F	30	음료	생딸기가득주스	2.0	0.0	79.0	60.0	9.0	0.0	0.0	0.0
9990008172199	F	30	음료	오렌지에이드	1.0	0.0	79.0	60.0	9.0	0.0	0.0	0.0
