cust_no	gen_cd	age	mclf_nm	sale_qty	t_5to8	t_8to11	t_11to14	t_14to17	t_17to20	t_20to22	t_22to5
9990017328047	M	20	음료	10.0	1.0	14.0	9.0	8.0	49.0	3.0	0.0
9990017328047	M	20	티 베리에이션	8.0	1.0	14.0	9.0	8.0	49.0	3.0	0.0
1000000820452	F	10	에스프레소 베리에이션	20.0	4.0	19.0	1.0	2.0	6.0	1.0	0.0
1000000820452	F	10	음료	8.0	4.0	19.0	1.0	2.0	6.0	1.0	0.0
1000000820452	F	10	티 베리에이션	5.0	4.0	19.0	1.0	2.0	6.0	1.0	0.0
1000000282210	M	30	에스프레소 베리에이션	46.0	0.0	0.0	66.0	0.0	0.0	0.0	0.0
1000000282210	M	30	음료	11.0	0.0	0.0	66.0	0.0	0.0	0.0	0.0
1000000282210	M	30	티 베리에이션	9.0	0.0	0.0	66.0	0.0	0.0	0.0	0.0
9990006387260	F	40	에스프레소 베리에이션	76.0	0.0	47.0	31.0	18.0	1.0	0.0	0.0
9990006387260	F	40	음료	20.0	0.0	47.0	31.0	18.0	1.0	0.0	0.0
9990006387260	F	40	티 베리에이션	1.0	0.0	47.0	31.0	18.0	1.0	0.0	0.0
1000000071812	F	30	에스프레소 베리에이션	27.0	0.0	0.0	19.0	4.0	6.0	2.0	0.0
1000000071812	F	30	음료	4.0	0.0	0.0	19.0	4.0	6.0	2.0	0.0
1000000736541	M	20	에스프레소 베리에이션	180.0	0.0	0.0	124.0	70.0	39.0	12.0	0.0
1000000736541	M	20	음료	18.0	0.0	0.0	124.0	70.0	39.0	12.0	0.0
1000000736541	M	20	티 베리에이션	47.0	0.0	0.0	124.0	70.0	39.0	12.0	0.0
9990018261250	F	60	에스프레소 베리에이션	176.0	0.0	118.0	72.0	20.0	11.0	0.0	0.0
9990018261250	F	60	음료	8.0	0.0	118.0	72.0	20.0	11.0	0.0	0.0
9990018261250	F	60	티 베리에이션	37.0	0.0	118.0	72.0	20.0	11.0	0.0	0.0
1000001969651	M	20	에스프레소 베리에이션	28.0	0.0	6.0	18.0	5.0	3.0	0.0	0.0
1000001969651	M	20	음료	4.0	0.0	6.0	18.0	5.0	3.0	0.0	0.0
9990007401486	M	30	에스프레소 베리에이션	56.0	0.0	26.0	37.0	15.0	11.0	0.0	0.0
9990007401486	M	30	음료	31.0	0.0	26.0	37.0	15.0	11.0	0.0	0.0
9990007401486	M	30	티 베리에이션	2.0	0.0	26.0	37.0	15.0	11.0	0.0	0.0
1000000014420	M	20	에스프레소 베리에이션	10.0	0.0	0.0	0.0	2.0	8.0	0.0	0.0
9990021322533	F	20	에스프레소 베리에이션	16.0	0.0	3.0	11.0	2.0	6.0	0.0	0.0
9990021322533	F	20	음료	2.0	0.0	3.0	11.0	2.0	6.0	0.0	0.0
9990021322533	F	20	티 베리에이션	4.0	0.0	3.0	11.0	2.0	6.0	0.0	0.0
1000001402367	M	20	에스프레소 베리에이션	49.0	0.0	3.0	11.0	20.0	13.0	3.0	0.0
