cust_no	gen_cd	age	mclf_nm	menu_nm	sale_qty	t_5to8	t_8to11	t_11to14	t_14to17	t_17to20	t_20to22	t_22t
1000000295067	M	20	에스프레소 베리에이션	카페모카	2.0	0.0	0.0	6.0	2.0	25.0	10.0	0.0
1000000295067	M	20	에스프레소 베리에이션	콜드브루	1.0	0.0	0.0	6.0	2.0	25.0	10.0	0.0
1000000295067	M	20	티 베리에이션	애플민트티	1.0	0.0	0.0	6.0	2.0	25.0	10.0	0.0
1000000295067	M	20	티 베리에이션	오렌지자몽티	1.0	0.0	0.0	6.0	2.0	25.0	10.0	0.0
1000000295067	M	20	티 베리에이션	유자레몬티	1.0	0.0	0.0	6.0	2.0	25.0	10.0	0.0
1000000295067	M	20	티 베리에이션	카모마일	6.0	0.0	0.0	6.0	2.0	25.0	10.0	0.0
9990014094851	F	30	에스프레소 베리에이션	아메리카노	35.0	0.0	2.0	13.0	14.0	3.0	8.0	0.0
9990014094851	F	30	에스프레소 베리에이션	카페라떼	1.0	0.0	2.0	13.0	14.0	3.0	8.0	0.0
9990014094851	F	30	티 베리에이션	로얄밀크티	1.0	0.0	2.0	13.0	14.0	3.0	8.0	0.0
9990014094851	F	30	티 베리에이션	애플민트티	1.0	0.0	2.0	13.0	14.0	3.0	8.0	0.0
9990014094851	F	30	티 베리에이션	유자레몬티	1.0	0.0	2.0	13.0	14.0	3.0	8.0	0.0
9990014094851	F	30	티 베리에이션	허니레몬아이스티	1.0	0.0	2.0	13.0	14.0	3.0	8.0	0.0
9990021650993	F	30	에스프레소 베리에이션	아메리카노	65.0	0.0	29.0	29.0	5.0	2.0	1.0	0.0
9990021650993	F	30	음료	초코밀크쉐이크	1.0	0.0	29.0	29.0	5.0	2.0	1.0	0.0
9990002224291	F	40	에스프레소 베리에이션	아메리카노	26.0	0.0	4.0	12.0	22.0	5.0	1.0	0.0
9990002224291	F	40	에스프레소 베리에이션	오트화이트카페라떼	13.0	0.0	4.0	12.0	22.0	5.0	1.0	0.0
9990002224291	F	40	에스프레소 베리에이션	카페라떼	3.0	0.0	4.0	12.0	22.0	5.0	1.0	0.0
9990002224291	F	40	에스프레소 베리에이션	콜드브루	1.0	0.0	4.0	12.0	22.0	5.0	1.0	0.0
9990002224291	F	40	음료	초콜릿라떼	1.0	0.0	4.0	12.0	22.0	5.0	1.0	0.0
9990003649520	F	40	에스프레소 베리에이션	딜라이트펌킨슈페너	5.0	0.0	10.0	7.0	7.0	6.0	2.0	0.0
9990003649520	F	40	에스프레소 베리에이션	바닐라카페라떼	1.0	0.0	10.0	7.0	7.0	6.0	2.0	0.0
9990003649520	F	40	에스프레소 베리에이션	아메리카노	14.0	0.0	10.0	7.0	7.0	6.0	2.0	0.0
9990003649520	F	40	에스프레소 베리에이션	카페라떼	2.0	0.0	10.0	7.0	7.0	6.0	2.0	0.0
9990003649520	F	40	에스프레소 베리에이션	카푸치노	1.0	0.0	10.0	7.0	7.0	6.0	2.0	0.0
9990003649520	F	40	에스프레소 베리에이션	콜드브루	1.0	0.0	10.0	7.0	7.0	6.0	2.0	0.0
9990003649520	F	40	에스프레소 베리에이션	흑임자카페라떼	4.0	0.0	10.0	7.0	7.0	6.0	2.0	0.0
9990003649520	F	40	음료	쑥라떼	2.0	0.0	10.0	7.0	7.0	6.0	2.0	0.0
9990003649520	F	40	티 베리에이션	그린티라떼	1.0	0.0	10.0	7.0	7.0	6.0	2.0	0.0
9990003649520	F	40	티 베리에이션	시그니처뱅쇼	1.0	0.0	10.0	7.0	7.0	6.0	2.0	0.0
1000000142071	F	30	에스프레소 베리에이션	롱블랙	1.0	0.0	1.0	24.0	6.0	7.0	0.0	0.0
1000000142071	F	30	에스프레소 베리에이션	스페니쉬연유카페라떼	2.0	0.0	1.0	24.0	6.0	7.0	0.0	0.0
1000000142071	F	30	에스프레소 베리에이션	아메리카노	8.0	0.0	1.0	24.0	6.0	7.0	0.0	0.0
1000000142071	F	30	에스프레소 베리에이션	오트화이트카페라떼	1.0	0.0	1.0	24.0	6.0	7.0	0.0	0.0
