cust_no	gen_cd	age	mclf_nm	sale_qty	t_5to8	t_8to11	t_11to14	t_14to17	t_17to20	t_20to22	t_22to5
1000000506280	F	20	에스프레소 베리에이션	13.0	0.0	0.0	3.0	10.0	2.0	0.0	0.0
1000000506280	F	20	음료	1.0	0.0	0.0	3.0	10.0	2.0	0.0	0.0
1000000506280	F	20	티 베리에이션	1.0	0.0	0.0	3.0	10.0	2.0	0.0	0.0
1000000727833	F	20	에스프레소 베리에이션	49.0	0.0	7.0	7.0	33.0	30.0	1.0	0.0
1000000727833	F	20	음료	23.0	0.0	7.0	7.0	33.0	30.0	1.0	0.0
1000000727833	F	20	티 베리에이션	6.0	0.0	7.0	7.0	33.0	30.0	1.0	0.0
1000000213479	F	20	에스프레소 베리에이션	19.0	0.0	0.0	17.0	9.0	3.0	0.0	0.0
1000000213479	F	20	음료	7.0	0.0	0.0	17.0	9.0	3.0	0.0	0.0
1000000213479	F	20	티 베리에이션	3.0	0.0	0.0	17.0	9.0	3.0	0.0	0.0
1000000461069	M	30	에스프레소 베리에이션	104.0	0.0	6.0	60.0	39.0	11.0	3.0	5.0
1000000461069	M	30	음료	13.0	0.0	6.0	60.0	39.0	11.0	3.0	5.0
1000000461069	M	30	티 베리에이션	7.0	0.0	6.0	60.0	39.0	11.0	3.0	5.0
9990008208080	M	40	에스프레소 베리에이션	59.0	0.0	30.0	27.0	4.0	6.0	0.0	0.0
9990008208080	M	40	음료	6.0	0.0	30.0	27.0	4.0	6.0	0.0	0.0
9990008208080	M	40	티 베리에이션	2.0	0.0	30.0	27.0	4.0	6.0	0.0	0.0
1000002309208	M	10	에스프레소 베리에이션	50.0	0.0	0.0	4.0	29.0	20.0	4.0	0.0
1000002309208	M	10	음료	6.0	0.0	0.0	4.0	29.0	20.0	4.0	0.0
1000002309208	M	10	티 베리에이션	1.0	0.0	0.0	4.0	29.0	20.0	4.0	0.0
1000000010724	F	40	에스프레소 베리에이션	35.0	0.0	11.0	26.0	10.0	0.0	0.0	0.0
1000000010724	F	40	음료	4.0	0.0	11.0	26.0	10.0	0.0	0.0	0.0
1000000010724	F	40	티 베리에이션	8.0	0.0	11.0	26.0	10.0	0.0	0.0	0.0
9990016706454	F	20	에스프레소 베리에이션	52.0	0.0	31.0	23.0	17.0	1.0	0.0	0.0
9990016706454	F	20	음료	7.0	0.0	31.0	23.0	17.0	1.0	0.0	0.0
9990016706454	F	20	티 베리에이션	13.0	0.0	31.0	23.0	17.0	1.0	0.0	0.0
1000000592038	F	40	에스프레소 베리에이션	39.0	0.0	24.0	11.0	10.0	3.0	0.0	0.0
1000000592038	F	40	음료	3.0	0.0	24.0	11.0	10.0	3.0	0.0	0.0
1000000592038	F	40	티 베리에이션	6.0	0.0	24.0	11.0	10.0	3.0	0.0	0.0
1000000928777	M	20	에스프레소 베리에이션	27.0	0.0	9.0	14.0	5.0	1.0	0.0	1.0
1000000928777	M	20	음료	3.0	0.0	9.0	14.0	5.0	1.0	0.0	1.0
9990004042364	F	40	에스프레소 베리에이션	8.0	0.0	0.0	5.0	4.0	1.0	1.0	0.0
9990004042364	F	40	티 베리에이션	3.0	0.0	0.0	5.0	4.0	1.0	1.0	0.0
9990018129330	F	20	에스프레소 베리에이션	66.0	0.0	18.0	31.0	13.0	11.0	5.0	0.0
9990018129330	F	20	음료	8.0	0.0	18.0	31.0	13.0	11.0	5.0	0.0
9990018129330	F	20	티 베리에이션	4.0	0.0	18.0	31.0	13.0	11.0	5.0	0.0
1000000647040	F	40	에스프레소 베리에이션	30.0	0.0	19.0	4.0	13.0	0.0	0.0	0.0
1000000647040	F	40	음료	6.0	0.0	19.0	4.0	13.0	0.0	0.0	0.0
1000000706198	F	30	에스프레소 베리에이션	203.0	2.0	107.0	82.0	12.0	3.0	6.0	0.0
1000000706198	F	30	음료	6.0	2.0	107.0	82.0	12.0	3.0	6.0	0.0
1000000706198	F	30	티 베리에이션	3.0	2.0	107.0	82.0	12.0	3.0	6.0	0.0
1000000096373	M	20	에스프레소 베리에이션	8.0	0.0	4.0	0.0	5.0	13.0	0.0	0.0
1000000096373	M	20	음료	8.0	0.0	4.0	0.0	5.0	13.0	0.0	0.0
1000000096373	M	20	티 베리에이션	6.0	0.0	4.0	0.0	5.0	13.0	0.0	0.0
1000000076248	M	30	에스프레소 베리에이션	148.0	0.0	40.0	38.0	113.0	37.0	22.0	3.0
1000000076248	M	30	음료	82.0	0.0	40.0	38.0	113.0	37.0	22.0	3.0
1000000076248	M	30	티 베리에이션	23.0	0.0	40.0	38.0	113.0	37.0	22.0	3.0
9990003969029	F	40	에스프레소 베리에이션	36.0	0.0	0.0	6.0	9.0	22.0	2.0	2.0
9990003969029	F	40	음료	5.0	0.0	0.0	6.0	9.0	22.0	2.0	2.0
1000000281011	M	50	에스프레소 베리에이션	91.0	0.0	89.0	8.0	12.0	0.0	0.0	0.0
1000000281011	M	50	음료	3.0	0.0	89.0	8.0	12.0	0.0	0.0	0.0
1000000281011	M	50	티 베리에이션	15.0	0.0	89.0	8.0	12.0	0.0	0.0	0.0
1000000645904	M	40	에스프레소 베리에이션	20.0	0.0	4.0	10.0	8.0	0.0	0.0	0.0
1000000645904	M	40	티 베리에이션	2.0	0.0	4.0	10.0	8.0	0.0	0.0	0.0
9990003209713	F	20	에스프레소 베리에이션	17.0	0.0	1.0	3.0	10.0	9.0	5.0	0.0
9990003209713	F	20	음료	1.0	0.0	1.0	3.0	10.0	9.0	5.0	0.0
9990003209713	F	20	티 베리에이션	10.0	0.0	1.0	3.0	10.0	9.0	5.0	0.0
1000001571364	F	50	에스프레소 베리에이션	18.0	0.0	0.0	16.0	4.0	0.0	0.0	0.0
1000001571364	F	50	음료	2.0	0.0	0.0	16.0	4.0	0.0	0.0	0.0
